Mes,Córdobas por USD
28-Abril-2022,35.7491
29-Abril-2022,35.7510
30-Abril-2022,35.7530
01-Junio-2022,35.8151
02-Junio-2022,35.8170
03-Junio-2022,35.8190
04-Junio-2022,35.8209
05-Junio-2022,35.8229
06-Junio-2022,35.8248
07-Junio-2022,35.8267
08-Junio-2022,35.8287
09-Junio-2022,35.8306
10-Junio-2022,35.8326
11-Junio-2022,35.8345
12-Junio-2022,35.8365
13-Junio-2022,35.8384
14-Junio-2022,35.8404
15-Junio-2022,35.8423
16-Junio-2022,35.8442
17-Junio-2022,35.8462
18-Junio-2022,35.8481
19-Junio-2022,35.8501
20-Junio-2022,35.8520
21-Junio-2022,35.8540
22-Junio-2022,35.8559
23-Junio-2022,35.8579
24-Junio-2022,35.8598
25-Junio-2022,35.8618
26-Junio-2022,35.8637
27-Junio-2022,35.8656
28-Junio-2022,35.8676
29-Junio-2022,35.8695
30-Junio-2022,35.8715
01-Octubre-2022,36.0529
02-Octubre-2022,36.0549
03-Octubre-2022,36.0568
01-Febrero-2022,35.5827
02-Febrero-2022,35.5846
03-Febrero-2022,35.5865
04-Febrero-2022,35.5885
05-Febrero-2022,35.5904
06-Febrero-2022,35.5923
07-Febrero-2022,35.5943
08-Febrero-2022,35.5962
09-Febrero-2022,35.5981
10-Febrero-2022,35.6001
11-Febrero-2022,35.6020
12-Febrero-2022,35.6039
13-Febrero-2022,35.6058
14-Febrero-2022,35.6078
15-Febrero-2022,35.6097
16-Febrero-2022,35.6116
17-Febrero-2022,35.6136
18-Febrero-2022,35.6155
19-Febrero-2022,35.6174
20-Febrero-2022,35.6194
21-Febrero-2022,35.6213
22-Febrero-2022,35.6232
23-Febrero-2022,35.6252
24-Febrero-2022,35.6271
25-Febrero-2022,35.6290
26-Febrero-2022,35.6310
27-Febrero-2022,35.6329
28-Febrero-2022,35.6348
01-Julio-2022,35.8734
02-Julio-2022,35.8754
03-Julio-2022,35.8773
04-Julio-2022,35.8793
05-Julio-2022,35.8812
06-Julio-2022,35.8832
07-Julio-2022,35.8851
08-Julio-2022,35.8871
09-Julio-2022,35.8890
10-Julio-2022,35.8909
11-Julio-2022,35.8929
12-Julio-2022,35.8948
13-Julio-2022,35.8968
14-Julio-2022,35.8987
15-Julio-2022,35.9007
16-Julio-2022,35.9026
17-Julio-2022,35.9046
18-Julio-2022,35.9065
19-Julio-2022,35.9085
20-Julio-2022,35.9104
21-Julio-2022,35.9124
22-Julio-2022,35.9143
23-Julio-2022,35.9163
24-Julio-2022,35.9182
25-Julio-2022,35.9202
26-Julio-2022,35.9221
27-Julio-2022,35.9241
28-Julio-2022,35.9260
29-Julio-2022,35.9280
30-Julio-2022,35.9299
31-Julio-2022,35.9319
04-Octubre-2022,36.0588
05-Octubre-2022,36.0608
06-Octubre-2022,36.0627
07-Octubre-2022,36.0647
08-Octubre-2022,36.0666
09-Octubre-2022,36.0686
10-Octubre-2022,36.0705
11-Octubre-2022,36.0725
12-Octubre-2022,36.0745
13-Octubre-2022,36.0764
14-Octubre-2022,36.0784
15-Octubre-2022,36.0803
16-Octubre-2022,36.0823
17-Octubre-2022,36.0842
18-Octubre-2022,36.0862
19-Octubre-2022,36.0882
20-Octubre-2022,36.0901
21-Octubre-2022,36.0921
22-Octubre-2022,36.0940
23-Octubre-2022,36.0960
24-Octubre-2022,36.0979
25-Octubre-2022,36.0999
26-Octubre-2022,36.1019
27-Octubre-2022,36.1038
28-Octubre-2022,36.1058
29-Octubre-2022,36.1077
30-Octubre-2022,36.1097
31-Octubre-2022,36.1117
31-Diciembre-2022,36.2314
30-Diciembre-2022,36.2294
29-Diciembre-2022,36.2274
28-Diciembre-2022,36.2255
27-Diciembre-2022,36.2235
26-Diciembre-2022,36.2215
25-Diciembre-2022,36.2196
24-Diciembre-2022,36.2176
23-Diciembre-2022,36.2156
22-Diciembre-2022,36.2137
21-Diciembre-2022,36.2117
20-Diciembre-2022,36.2098
19-Diciembre-2022,36.2078
18-Diciembre-2022,36.2058
17-Diciembre-2022,36.2039
16-Diciembre-2022,36.2019
15-Diciembre-2022,36.1999
14-Diciembre-2022,36.1980
